STATIONS_ID;MESS_DATUM;QN_3;  FX;  FM;QN_4; RSK;RSKF; SDK;SHK_TAG;  NM; VPM;  PM; TMK; UPM; TXK; TNK; TGK;eor
       2932;20190719;   10;   9.1;   3.5;    3;   4.1;   6;    3.100;   0;   7.0;  15.7;  997.99;   20.1;   66.67;   23.8;   16.5;   13.0;eor
       2932;20190720;   10;  20.2;   3.1;    3;  16.0;   6;   11.083;   0;   6.7;  16.1;  997.90;   22.6;   63.00;   30.9;   14.8;   11.6;eor
       2932;20190721;   10;  12.3;   3.8;    3;   0.0;   0;   10.250;   0;   5.0;  15.7; 1002.81;   21.5;   64.08;   27.3;   16.4;   14.2;eor
       2932;20190722;   10;   9.8;   2.6;    3;   0.0;   0;    7.883;   0;   6.4;  14.1; 1006.70;   21.8;   56.54;   27.8;   14.6;   11.5;eor
       2932;20190723;   10;   7.7;   2.3;    3;   0.0;   0;   15.017;   0;   0.7;  15.2; 1005.20;   24.9;   51.00;   32.2;   16.1;   14.5;eor
       2932;20190724;   10;   6.9;   2.2;    3;   0.0;   0;   14.917;   0;   1.1;  14.6; 1001.63;   26.8;   44.96;   34.4;   17.3;   15.0;eor
       2932;20190725;   10;   7.5;   2.8;    3;   0.0;   0;   14.033;   0;   1.9;  13.6; 1000.80;   27.9;   39.08;   35.5;   18.4;   17.4;eor
       2932;20190726;   10;  11.3;   3.8;    3;   0.0;   0;   14.667;   0;   1.1;  15.0;  996.36;   25.2;   48.83;   31.9;   18.4;   17.5;eor
       2932;20190727;   10;  12.0;   4.8;    3;   0.0;   0;   13.200;   0;   2.8;  13.2;  989.03;   24.0;   45.92;   30.1;   16.4;   15.3;eor
       2932;20190728;   10;  11.5;   4.2;    3;   0.0;   0;   11.050;   0;   5.0;  16.5;  985.77;   25.0;   52.71;   30.5;   18.4;   17.6;eor
       2932;20190729;   10;  10.3;   3.9;    3;   0.0;   0;   12.050;   0;   3.7;  19.2;  992.63;   23.5;   66.54;   27.4;   18.3;   17.6;eor
       2932;20190730;   10;   8.2;   3.2;    3;   0.0;   0;    2.900;   0;   6.0;  17.8;  995.65;   23.7;   62.96;   28.6;   18.2;   17.4;eor
       2932;20190731;   10;  11.3;   2.1;    3;   6.8;   6;    3.600;   0;   5.4;  17.9;  999.08;   19.1;   81.71;   25.4;   15.5;   14.1;eor
       2932;20190801;   10;   7.5;   2.3;    3;   0.0;   0;    8.750;   0;   4.3;  13.6; 1000.71;   19.8;   62.25;   25.7;   13.5;   12.1;eor
       2932;20190802;   10;  10.8;   1.8;    3;   0.0;   6;    4.250;   0;   6.0;  14.4;  998.38;   20.0;   63.25;   26.5;   15.9;   13.0;eor
       2932;20190803;   10;  10.1;   2.6;    3;   9.5;   6;    4.333;   0;   5.7;  16.2;  998.63;   18.1;   78.58;   23.2;   15.4;   14.4;eor
       2932;20190804;   10;   6.0;   2.1;    3;   0.0;   0;   11.033;   0;   3.9;  14.8; 1000.02;   19.3;   67.79;   25.3;   13.8;   12.6;eor
       2932;20190805;   10;   9.8;   3.2;    3;   0.0;   6;    2.467;   0;   6.5;  15.6;  996.09;   20.2;   66.46;   26.7;   14.6;   12.9;eor
       2932;20190806;   10;  15.6;   4.6;    3;   0.0;   6;    7.517;   0;   5.9;  16.3;  994.12;   21.9;   64.92;   29.2;   15.8;   14.3;eor
       2932;20190807;   10;  10.3;   4.4;    3;   6.6;   6;    1.850;   0;   6.8;  17.9;  991.82;   19.9;   76.88;   23.8;   17.0;   15.7;eor
       2932;20190808;   10;  14.6;   6.1;    3;   0.0;   0;   12.150;   0;   4.5;  13.9;  995.34;   21.0;   59.38;   27.7;   14.9;   12.5;eor
       2932;20190809;   10;   8.7;   2.8;    3;   3.3;   6;    8.183;   0;   6.6;  15.8;  995.64;   22.8;   58.96;   30.0;   15.8;   13.5;eor
